W,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
50,50,1,31,456,0.8060270176653966,1304,907.138036809816,25350
50,50,2,63,42,0.5438254772107518,1304,1353.4516871165645,25740
50,50,2,63,123,0.5526923076923077,1292,1395.2956656346748,26191
50,50,2,63,456,0.53875,1298,1346.6124807395993,24639
50,50,3,127,42,0.2685753237900477,1222,1648.0589198036007,21921
50,50,3,127,123,0.28440366972477066,1223,1644.6042518397383,21968
50,50,3,127,456,0.2910195813639433,1219,1722.4109926168992,21562
50,50,4,255,42,0.09683794466403162,1131,1869.8815207780724,16017
50,50,4,255,123,0.11753371868978806,1154,1819.8284228769498,15635
50,50,4,255,456,0.12761714855433698,1139,1842.1659350307286,14938
50,50,5,511,42,0.025225225225225224,972,2210.0925925925926,10311
50,50,5,511,123,0.04735883424408015,959,2172.784150156413,9185
50,50,5,511,456,0.06770833333333333,967,2045.9027921406412,10188
80,10,0,15,42,0.5276049766718507,1384,275.1871387283237,3160
80,10,0,15,123,0.5120366832250669,1468,253.20231607629427,3310
80,10,0,15,456,0.5163043478260869,1385,272.6779783393502,2990
80,10,1,31,42,0.2661917098445596,1400,297.42214285714283,3170
80,10,1,31,123,0.27874774232390126,1378,301.232946298984,3350
80,10,1,31,456,0.27413127413127414,1326,313.39291101055807,3169
80,10,2,63,42,0.12175470008952552,1267,335.29360694554066,3160
80,10,2,63,123,0.15275459098497496,1237,347.25949878738885,3320
80,10,2,63,456,0.16112531969309463,1271,328.57985837922894,3190
80,10,3,127,42,0.08045977011494253,1126,394.6882770870337,3197
80,10,3,127,123,0.06575963718820861,1148,383.3379790940767,3279
80,10,3,127,456,0.06608478802992519,1120,392.46517857142857,3018
80,10,4,255,42,0.02710027100271003,845,527.905325443787,1571
80,10,4,255,123,0.02962962962962963,854,531.3770491803278,1736
80,10,4,255,456,0.0111731843575419,870,518.4643678160919,1545
80,10,5,511,42,0.017699115044247787,692,630.5057803468208,795
80,10,5,511,123,0.014285714285714285,700,622.8628571428571,974
80,10,5,511,456,0.01904761904761905,711,615.8959212376934,750
80,20,0,15,42,0.7716564644778334,1383,393.52566883586405,6540
80,20,0,15,123,0.7761633253632518,1294,398.1275115919629,6460
80,20,0,15,456,0.773574144486692,1308,393.2584097859327,6320
80,20,1,31,42,0.48789346246973364,1364,536.7705278592375,6600
80,20,1,31,123,0.4934238438693254,1344,557.1078869047619,6220
80,20,1,31,456,0.48655569782330343,1368,571.4195906432749,6319
80,20,2,63,42,0.2674040338321405,1306,649.9624808575804,6420
80,20,2,63,123,0.29678638941398866,1313,653.0883472962681,6439
80,20,2,63,456,0.27450980392156865,1315,640.7817490494297,6319
80,20,3,127,42,0.17447495961227788,1226,729.3539967373573,6690
80,20,3,127,123,0.17113223854796888,1212,705.1435643564356,6348
80,20,3,127,456,0.13682277318640956,1205,747.4199170124481,6223
80,20,4,255,42,0.048411497730711045,954,949.83857442348,3958
80,20,4,255,123,0.0703125,966,917.9668737060041,3646
80,20,4,255,456,0.04,987,904.9726443768997,3603
80,20,5,511,42,0.014705882352941176,762,1112.6719160104988,2311
80,20,5,511,123,0.022058823529411766,748,1141.2526737967914,2291
80,20,5,511,456,0.00796812749003984,779,1076.7034659820283,2270
80,30,0,15,42,0.8944007858546169,1268,365.1774447949527,9450
80,30,0,15,123,0.8972172772416378,1260,356.36507936507934,9720
80,30,0,15,456,0.894568380213385,1224,359.8684640522876,9570
80,30,1,31,42,0.6304917078847833,1359,714.4591611479028,9810
80,30,1,31,123,0.6188103394581127,1355,761.8988929889299,9390
80,30,1,31,456,0.6434195725534309,1332,746.2424924924925,9840
