part,tier,W,ppdu_duration,W_avail,K,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count,avg_tx_per_visit
2,A,50,20,30,1.5,30,5,511,456,0.018867924528301886,859,1547.5052386495925,4654,0.06832831972496776
2,A,80,50,30,0.6,30,0,15,42,0.8700404858299595,670,759.7462686567164,9630,0.5129802699896158
2,A,80,50,30,0.6,30,0,15,123,0.8721069433359936,646,737.8095975232198,9630,0.5204569055036344
2,A,80,50,30,0.6,30,0,15,456,0.8729201331114809,641,797.6505460218409,9180,0.5237472766884531
2,A,80,50,30,0.6,30,1,31,42,0.626848691695108,675,1472.6755555555555,9840,0.17865853658536585
2,A,80,50,30,0.6,30,1,31,123,0.5968523002421308,681,1528.0058737151248,9990,0.16536536536536536
2,A,80,50,30,0.6,30,1,31,456,0.6015084852294155,677,1506.3958641063516,9540,0.1667714884696017
2,A,80,50,30,0.6,30,2,63,42,0.379746835443038,673,1862.9583952451708,9598,0.1070014586372161
2,A,80,50,30,0.6,30,2,63,123,0.3557978196233895,680,1823.2044117647058,9748,0.10350841198194502
2,A,80,50,30,0.6,30,2,63,456,0.4127272727272727,671,1707.0372578241431,9711,0.11327360724951087
2,A,80,50,30,0.6,30,3,127,42,0.20627261761158022,684,1958.6842105263158,10013,0.08279236991910516
2,A,80,50,30,0.6,30,3,127,123,0.24301336573511542,665,1897.8992481203009,9331,0.08820062158396742
2,A,80,50,30,0.6,30,3,127,456,0.2244640605296343,647,1929.9567233384853,9349,0.08482190608621243
2,A,80,50,30,0.6,30,4,255,42,0.08494208494208494,589,2203.595925297114,5861,0.08838082238525849
2,A,80,50,30,0.6,30,4,255,123,0.07547169811320754,571,2250.830122591944,6115,0.0866721177432543
2,A,80,50,30,0.6,30,4,255,456,0.10059171597633136,559,2272.79427549195,5863,0.08647450110864745
2,A,80,50,30,0.6,30,5,511,42,0.014184397163120567,492,2618.060975609756,3780,0.0746031746031746
2,A,80,50,30,0.6,30,5,511,123,0.021052631578947368,466,2713.5643776824036,3462,0.08232235701906412
2,A,80,50,30,0.6,30,5,511,456,0.04609929078014184,470,2701.748936170213,3445,0.08185776487663281
2,A,110,80,30,0.375,30,0,15,42,0.8676266962060372,480,1095.6166666666666,7199,0.5015974440894568
2,A,110,80,30,0.375,30,0,15,123,0.880039331366765,451,1029.1263858093128,7320,0.5557377049180328
2,A,110,80,30,0.375,30,0,15,456,0.883255008656938,450,1036.8933333333334,7080,0.571045197740113
2,A,110,80,30,0.375,30,1,31,42,0.6163265306122448,485,2180.643298969072,7050,0.17375886524822695
2,A,110,80,30,0.375,30,1,31,123,0.6045380875202593,479,2131.82254697286,7349,0.1679140019050211
2,A,110,80,30,0.375,30,1,31,456,0.6313291139240507,473,2060.3953488372094,6990,0.18082975679542204
2,A,110,80,30,0.375,30,2,63,42,0.379400260756193,479,2459.492693110647,7137,0.10746812386156648
2,A,110,80,30,0.375,30,2,63,123,0.3754993342210386,478,2487.1464435146445,7077,0.10611841175639396
2,A,110,80,30,0.375,30,2,63,456,0.43544303797468353,454,2477.8678414096917,6688,0.11812200956937799
2,A,110,80,30,0.375,30,3,127,42,0.19614711033274956,468,2704.0235042735044,6891,0.08286170367145552
2,A,110,80,30,0.375,30,3,127,123,0.25732899022801303,482,2636.3215767634856,6841,0.08975296009355357
2,A,110,80,30,0.375,30,3,127,456,0.21541155866900175,444,2646.1193693693695,6837,0.08351616205938277
2,A,110,80,30,0.375,30,4,255,42,0.11166253101736973,394,3118.4340101522844,5144,0.07834370139968896
2,A,110,80,30,0.375,30,4,255,123,0.11845102505694761,397,2937.8614609571787,5452,0.08052090975788702
2,A,110,80,30,0.375,30,4,255,456,0.11933174224343675,415,2846.7614457831323,5148,0.08139083139083139
2,A,110,80,30,0.375,30,5,511,42,0.01951219512195122,323,3709.8359133126937,2425,0.08453608247422681
2,A,110,80,30,0.375,30,5,511,123,0.024291497975708502,334,3470.2185628742513,2809,0.08793164827340691
2,A,110,80,30,0.375,30,5,511,456,0.041474654377880185,324,3709.787037037037,2432,0.08922697368421052
2,B,170,20,150,7.5,30,0,15,42,0.8606316327835315,1209,442.57899090157156,4440,1.7614864864864865
2,B,170,20,150,7.5,30,0,15,123,0.8649068322981367,1205,410.84066390041494,4290,1.8013986013986014
2,B,170,20,150,7.5,30,0,15,456,0.8651219512195122,1215,413.78765432098766,4560,1.7982456140350878
2,B,170,20,150,7.5,30,1,31,42,0.6717428087986463,1275,690.6407843137255,4530,0.7827814569536424
2,B,170,20,150,7.5,30,1,31,123,0.6672144617912901,1208,745.6920529801324,4680,0.7801282051282051
2,B,170,20,150,7.5,30,1,31,456,0.6886026323158779,1252,694.9129392971246,4320,0.8266203703703704
2,B,170,20,150,7.5,30,2,63,42,0.40599455040871935,1276,898.5681818181819,4320,0.42476851851851855
2,B,170,20,150,7.5,30,2,63,123,0.4065540194572453,1226,903.1231647634584,4620,0.42272727272727273
2,B,170,20,150,7.5,30,2,63,456,0.39834710743801655,1219,892.9581624282199,4350,0.41724137931034483
2,B,170,20,150,7.5,30,3,127,42,0.22263313609467456,1208,1017.3170529801324,4589,0.29461756373937675
